firm,policy,pass_,fail,fd,timeout,med,p25,p75,p90,funded_surv,funded_paid
Mubite 8+5 / DD10 static (add-on),flat  base1.0 c0.5 kmax1,0.9425,0.0,0.0,0.0575,178.54166666666666,106.625,279.89583333333337,437.3333333333333,1.0,0.19048165508686374
Mubite 8+5 / DD10 static (add-on),convex base1.0 c1.0 kmax2,0.9416666666666667,0.0,0.0,0.058333333333333334,181.8125,96.34375,320.69791666666663,521.2833333333333,0.994,0.18867735461491544
Mubite 8+5 / DD10 static (add-on),convex base1.0 c1.0 kmax3,0.9416666666666667,0.0,0.0,0.058333333333333334,181.8125,96.34375,320.69791666666663,521.2833333333333,0.994,0.1902395129055955
Mubite 8+5 / DD10 static (add-on),convex base1.5 c1.0 kmax2,0.9216666666666666,0.0033333333333333335,0.0033333333333333335,0.075,125.75,62.32291666666667,255.4375,468.125,0.978,0.2576842361470664
Mubite 8+5 / DD10 static (add-on),convex base1.5 c0.75 kmax2,0.8808333333333334,0.005833333333333334,0.005833333333333334,0.11333333333333333,95.875,44.5,224.66666666666666,436.625,0.97,0.2960159853812378
Mubite 8+5 / DD10 static (add-on),convex base2.0 c1.0 kmax2,0.875,0.008333333333333333,0.008333333333333333,0.11666666666666667,96.85416666666666,44.97916666666667,224.97916666666669,436.625,0.95,0.29832870429453173
Mubite 8+5 / DD10 static (add-on),"convex ph1 1.0 / ph2 2.0, c1 kmax2.5",0.9191666666666667,0.0033333333333333335,0.0033333333333333335,0.0775,146.875,74.25,272.47916666666663,447.91666666666697,0.994,0.1893798404317872
Mubite 8+5 / DD10 static (add-on),"convex ph1 1.5 / ph2 2.5, c1 kmax2.5",0.8808333333333334,0.005833333333333334,0.005833333333333334,0.11333333333333333,105.25,48.208333333333336,233.54166666666666,437.19166666666666,0.974,0.25768455759930003
Mubite 10+5 / DD8 static,flat  base1.0 c0.5 kmax1,0.8916666666666667,0.0,0.0,0.10833333333333334,197.54166666666666,122.30208333333333,305.5208333333333,448.67500000000007,1.0,0.17984667949587504
Mubite 10+5 / DD8 static,convex base1.0 c1.0 kmax2,0.9108333333333334,0.0008333333333333334,0.0008333333333333334,0.08833333333333333,204.75,107.5,363.6666666666667,568.7583333333333,0.992,0.18168314304074046
Mubite 10+5 / DD8 static,convex base1.0 c1.0 kmax3,0.91,0.0008333333333333334,0.0008333333333333334,0.08916666666666667,204.58333333333331,107.79166666666666,364.5416666666667,568.1791666666666,0.994,0.18579959483667702
Mubite 10+5 / DD8 static,convex base1.5 c1.0 kmax2,0.8541666666666666,0.005833333333333334,0.005833333333333334,0.14,144.66666666666666,67.54166666666667,291.1666666666667,510.3000000000002,0.98,0.24057656837128205
Mubite 10+5 / DD8 static,convex base1.5 c0.75 kmax2,0.7841666666666667,0.010833333333333334,0.010833333333333334,0.205,103.83333333333333,47.708333333333336,242.08333333333334,461.625,0.974,0.2614066077363309
Mubite 10+5 / DD8 static,convex base2.0 c1.0 kmax2,0.7808333333333334,0.01,0.01,0.20916666666666667,103.75,47.791666666666664,252.54166666666666,462.29166666666663,0.966,0.2699811676046954
Mubite 10+5 / DD8 static,"convex ph1 1.0 / ph2 2.0, c1 kmax2.5",0.8541666666666666,0.0033333333333333335,0.0033333333333333335,0.1425,168.95833333333334,85.375,320.6666666666667,512.7083333333334,0.992,0.1834558900839553
Mubite 10+5 / DD8 static,"convex ph1 1.5 / ph2 2.5, c1 kmax2.5",0.7766666666666666,0.009166666666666667,0.009166666666666667,0.21416666666666667,114.47916666666666,57.21875,254.38541666666669,459.325,0.976,0.24072524933817727
