firm,policy,pass_,fail,fd,timeout,med,p25,p75,p90,funded_surv,funded_paid
Hyro std 10+5 / DD10 trailing,convex base1.5 c0.75 kmax2,0.6983333333333334,0.0,0.0,0.3016666666666667,213.83333333333331,119.65625,414.0104166666667,672.4083333333335,0.712,0.078642343506088
Hyro std 10+5 / DD10 trailing,convex base2.0 c1.0 kmax2,0.6983333333333334,0.0,0.0,0.3016666666666667,213.83333333333331,119.65625,414.0104166666667,672.4083333333335,0.712,0.07864234350608793
Hyro std 10+5 / DD10 trailing,"convex ph1 1.0 / ph2 2.0, c1 kmax2.5",0.7191666666666666,0.0,0.0,0.2808333333333333,319.3333333333333,180.75,526.7291666666666,759.1666666666669,0.956,0.0741466076984935
Hyro std 10+5 / DD10 trailing,"convex ph1 1.5 / ph2 2.5, c1 kmax2.5",0.6633333333333333,0.0,0.0,0.33666666666666667,249.33333333333334,131.94791666666666,422.875,664.7916666666666,0.83,0.07908693158258905
Mubite 8+5 / DD8 static,flat  base1.0 c0.5 kmax1,0.8341666666666666,0.0,0.0,0.16583333333333333,206.66666666666666,130.75,338.8333333333333,517.75,1.0,0.13057663006840528
Mubite 8+5 / DD8 static,convex base1.0 c1.0 kmax2,0.8408333333333333,0.0,0.0,0.15916666666666668,197.79166666666666,110.08333333333333,394.7083333333333,660.4083333333333,1.0,0.1266836801877674
Mubite 8+5 / DD8 static,convex base1.0 c1.0 kmax3,0.8408333333333333,0.0,0.0,0.15916666666666668,197.79166666666666,110.08333333333333,394.7083333333333,660.4083333333333,1.0,0.1274606614316524
Mubite 8+5 / DD8 static,convex base1.5 c1.0 kmax2,0.7933333333333333,0.0,0.0,0.20666666666666667,123.83333333333333,63.59375,280.0833333333333,527.0958333333333,1.0,0.17439164445439717
Mubite 8+5 / DD8 static,convex base1.5 c0.75 kmax2,0.7525,0.0,0.0,0.2475,87.33333333333333,42.79166666666667,197.66666666666666,440.90000000000026,1.0,0.19820056645196463
Mubite 8+5 / DD8 static,convex base2.0 c1.0 kmax2,0.7475,0.0,0.0,0.2525,88.16666666666667,43.458333333333336,198.33333333333334,445.3499999999999,0.976,0.20179159164849153
Mubite 8+5 / DD8 static,"convex ph1 1.0 / ph2 2.0, c1 kmax2.5",0.79,0.0,0.0,0.21,152.95833333333334,79.70833333333333,314.13541666666663,557.0541666666669,1.0,0.12734776797344366
Mubite 8+5 / DD8 static,"convex ph1 1.5 / ph2 2.5, c1 kmax2.5",0.7516666666666667,0.0,0.0,0.24833333333333332,99.125,49.15625,225.79166666666669,428.0583333333333,0.99,0.1740801791294264
Mubite 8+5 / DD10 static (add-on),flat  base1.0 c0.5 kmax1,0.89,0.0,0.0,0.11,217.0,136.125,360.75,564.3416666666667,1.0,0.13727137669938383
Mubite 8+5 / DD10 static (add-on),convex base1.0 c1.0 kmax2,0.8841666666666667,0.0,0.0,0.11583333333333333,206.58333333333334,115.58333333333333,402.7916666666667,639.25,1.0,0.13118817893831244
Mubite 8+5 / DD10 static (add-on),convex base1.0 c1.0 kmax3,0.8841666666666667,0.0,0.0,0.11583333333333333,206.58333333333334,115.58333333333333,402.7916666666667,639.25,1.0,0.1313920288576323
Mubite 8+5 / DD10 static (add-on),convex base1.5 c1.0 kmax2,0.8608333333333333,0.0,0.0,0.13916666666666666,128.16666666666666,68.04166666666667,301.0833333333333,551.1333333333333,1.0,0.18558074623621706
Mubite 8+5 / DD10 static (add-on),convex base1.5 c0.75 kmax2,0.8333333333333334,0.0,0.0,0.16666666666666666,98.60416666666667,46.21875,230.5,452.0916666666667,1.0,0.21939077957236697
Mubite 8+5 / DD10 static (add-on),convex base2.0 c1.0 kmax2,0.8308333333333333,0.0,0.0,0.16916666666666666,98.25,45.666666666666664,225.91666666666666,452.6166666666667,0.978,0.22236458831726186
Mubite 8+5 / DD10 static (add-on),"convex ph1 1.0 / ph2 2.0, c1 kmax2.5",0.8541666666666666,0.0,0.0,0.14583333333333334,163.58333333333334,84.875,331.75,563.2583333333333,1.0,0.13148063073789967
Mubite 8+5 / DD10 static (add-on),"convex ph1 1.5 / ph2 2.5, c1 kmax2.5",0.8183333333333334,0.0008333333333333334,0.0008333333333333334,0.18083333333333335,103.35416666666666,53.041666666666664,238.01041666666666,443.60416666666663,0.992,0.18487464832303982
Mubite 10+5 / DD8 static,flat  base1.0 c0.5 kmax1,0.8208333333333333,0.0,0.0,0.17916666666666667,250.125,158.125,403.5416666666667,603.3666666666667,1.0,0.13057663006840528
Mubite 10+5 / DD8 static,convex base1.0 c1.0 kmax2,0.8208333333333333,0.0,0.0,0.17916666666666667,228.41666666666666,125.83333333333333,421.625,671.7333333333335,1.0,0.1266836801877674
Mubite 10+5 / DD8 static,convex base1.0 c1.0 kmax3,0.8225,0.0,0.0,0.1775,227.16666666666666,125.9375,422.89583333333337,670.4083333333333,1.0,0.1274606614316524
Mubite 10+5 / DD8 static,convex base1.5 c1.0 kmax2,0.7858333333333334,0.0,0.0,0.21416666666666667,143.875,74.85416666666667,313.14583333333337,568.0833333333335,1.0,0.17439164445439717
Mubite 10+5 / DD8 static,convex base1.5 c0.75 kmax2,0.7383333333333333,0.0,0.0,0.26166666666666666,101.75,51.333333333333336,216.84375,465.1458333333333,1.0,0.19820056645196463
Mubite 10+5 / DD8 static,convex base2.0 c1.0 kmax2,0.7383333333333333,0.0008333333333333334,0.0008333333333333334,0.2608333333333333,102.8125,50.72916666666667,241.69791666666666,485.7708333333333,0.976,0.20179159164849153
Mubite 10+5 / DD8 static,"convex ph1 1.0 / ph2 2.0, c1 kmax2.5",0.775,0.0,0.0,0.225,181.10416666666669,96.61458333333333,345.16666666666663,594.9833333333333,1.0,0.12734776797344366
Mubite 10+5 / DD8 static,"convex ph1 1.5 / ph2 2.5, c1 kmax2.5",0.7325,0.0008333333333333334,0.0008333333333333334,0.26666666666666666,117.08333333333333,58.79166666666667,257.52083333333337,455.71666666666704,0.99,0.1740801791294264
